853832"2018901844"Repeat Offender"1905 JAMES DR, MARRERO"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
850730"2017924860"Repeat Offender"1905 JAMES DR, MARRERO"11/22/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"11/22/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
841961"2017921929"Repeat Offender"1905 JAMES DR, MARRERO"10/4/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"10/04/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
832511"2017918564"Repeat Offender"1905 JAMES DR, MARRERO"8/22/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/22/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
828760"2017917088"Repeat Offender"1905 JAMES DR, MARRERO"8/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"08/07/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
821970"2017914487"Repeat Offender"1905 JAMES DR, MARRERO"7/10/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"07/10/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
804825"2017908128"Repeat Offender"1905 JAMES DR, MARRERO"4/19/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"04/19/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
791769"2017903700"Repeat Offender"1905 JAMES DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"COMMENT"06/26/2017"DEMAND LETTER"05/30/2017"COMMENT"05/18/2017"COMMENT"05/09/2017"COMMENT"04/06/2017"BILLED"03/29/2017"COMMENT"03/13/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/08/2017"COMMENT"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791630"2017903805"Repeat Offender"3613 JAMES DR, METAIRIE"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"COUNTRY CLUB HOMES"3613 JAMES DR"METAIRIE"E"COMMENT"02/24/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
771733"2016922292"Repeat Offender"1905 JAMES DR, MARRERO"10/7/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/07/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"DEMAND LETTER"01/20/2017"
764442"2016919603"Repeat Offender"1905 JAMES DR, MARRERO"9/1/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/01/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"DEMAND LETTER"01/18/2017"
756516"2016916542"Repeat Offender"1905 JAMES DR, MARRERO"7/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/28/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
755233"2016916011"Repeat Offender"1905 JAMES DR, MARRERO"7/22/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/22/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
745265"2016912031"Repeat Offender"1905 JAMES DR, MARRERO"6/8/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/08/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
743018"2016911156"Repeat Offender"3613 JAMES DR, METAIRIE"5/27/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/27/2016"COUNTRY CLUB HOMES"3613 JAMES DR"METAIRIE"E"BILLED"06/03/2016"COMPLAINT ENTERED/DATE"05/27/2016"COMPLAINT RECEIVED"05/27/2016"PROPERTY CUT BY PARISH CONTRACTOR"05/16/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"05/16/2016"
741695"2016910637"Repeat Offender"1905 JAMES DR, MARRERO"5/23/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/23/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"
736677"2016908577"Repeat Offender"1905 JAMES DR, MARRERO"4/28/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"04/28/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"
720167"2016902182"Repeat Offender"3613 JAMES DR, METAIRIE"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"COUNTRY CLUB HOMES"3613 JAMES DR"METAIRIE"E"COMMENT"07/22/2016"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"07/20/2016"COMMENT"07/14/2016"COMMENT"06/22/2016"COMMENT"06/20/2016"COMMENT"05/11/2016"COMMENT"04/19/2016"BILLED"04/08/2016"COMMENT"03/24/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/22/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720365"2016902402"Repeat Offender"1905 JAMES DR, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"GOLDEN HEIGHTS"1905 JAMES DR"MARRERO"W"COMMENT"07/01/2016"COMMENT"06/29/2016"COMMENT"06/22/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/19/2016"BILLED"04/01/2016"COMMENT"03/23/2016"COMMENT"03/21/2017"PROPERTY CUT BY PARISH CONTRACTOR"03/15/2016"COMMENT"02/22/2016"INSPECTION COMPLETED/DATE"02/19/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
791737"2017903213"Repeat Offender"104 JAMIE BLVD, AVONDALE"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"SOUTH AVONDALE HOMES"104 JAMIE BLVD"AVONDALE"W"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
791366"2017903276"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"MAIL CORRESPONDANCE"03/13/2017"COMMENT"02/23/2017"INSPECTION COMPLETED/DATE"02/22/2017"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
772483"2016922567"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"10/12/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"10/12/2016"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"02/01/2018"LETTER RETURNED"01/24/2017"FEES PAID"01/23/2018"BILL PAID"01/23/2018"DEMAND LETTER"01/19/2017"
767269"2016920689"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"9/15/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/15/2016"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"COMMENT"02/01/2018"LETTER RETURNED"01/24/2017"FEES PAID"01/23/2018"BILL PAID"01/23/2018"DEMAND LETTER"01/19/2017"
758005"2016917173"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"8/3/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"08/03/2016"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/23/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
755654"2016916238"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"7/26/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/26/2016"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/28/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
747358"2016912935"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"6/17/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"06/17/2016"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"06/06/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
738609"2016909365"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"5/6/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/06/2016"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/26/2016"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
720266"2016902596"Repeat Offender"3844 JAMIE LYNN DR, MARRERO"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"BUNNY PARK"3844 JAMIE LYNN DR"MARRERO"W"COMMENT"08/23/2016"DEMAND LETTER"08/16/2016"COMMENT"07/26/2016"MAIL CORRESPONDANCE"07/06/2016"COMMENT"07/01/2016"COMMENT"06/22/2016"COMMENT"06/08/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"04/29/2016"BILLED"04/14/2016"PROPERTY CUT BY PARISH CONTRACTOR"03/24/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"03/24/2016"COMMENT"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION COMPLETED/DATE"02/16/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"COMMENT"01/31/2018"FEES PAID"01/23/2018"BILL PAID"01/23/2018"
854456"2018902354"Repeat Offender"364 JEFFER DR, WAGGAMAN"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"LIVE OAK MANOR (WEST BANK)"364 JEFFER DR"WAGGAMAN"W"
854315"2018901948"Repeat Offender"112 JEFFERSON HEIGHTS AVE, JEFFERSON"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"JEFFERSON HEIGHTS"112 JEFFERSON HEIGHTS AVE"JEFFERSON"E"
854420"2018901652"Repeat Offender"3810 JEFFERSON HWY, JEFFERSON"2/4/2018"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2017"RIVERDALE"3810 JEFFERSON HWY"JEFFERSON"E"
791710"2017903330"Repeat Offender"4900 JENIC LN, BARATARIA"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"JENIC ISLES"4900 JENIC LN"BARATARIA"W"INSPECTION SCHEDULED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
766381"2016920317"Repeat Offender"4900 JENIC LN, BARATARIA"9/13/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"09/13/2016"JENIC ISLES"4900 JENIC LN"BARATARIA"W"LETTER RETURNED"04/10/2017"BILL PAID"02/08/2017"MISC FEES PAID"02/08/2017"FEES PAID"02/08/2017"PAYMENT RECEIVED"02/08/2017"ADJUDICATION FINES"02/08/2017"LETTER RETURNED"01/24/2017"DEMAND LETTER"01/09/2017"DEMAND LETTER"01/09/2017"
756726"2016916681"Repeat Offender"4900 JENIC LN, BARATARIA"7/29/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/29/2016"JENIC ISLES"4900 JENIC LN"BARATARIA"W"BILLED"08/08/2016"COMPLAINT ENTERED/DATE"07/29/2016"COMPLAINT RECEIVED"07/29/2016"PROPERTY CUT BY PARISH CONTRACTOR"07/05/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/05/2016"MAIL CORRESPONDANCE"01/26/2017"
756727"2016916682"Repeat Offender"4900 JENIC LN, BARATARIA"7/29/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"07/29/2016"IDA PLANTATION"4900 JENIC LN"BARATARIA"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"07/05/2016"ADVALOREM TAX ORDINANCE"05/03/2017"COMMENT"01/31/2018"FEES PAID"01/24/2018"BILL PAID"01/24/2018"
720273"2016902597"Repeat Offender"4947 JENIC LN, BARATARIA"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"JENIC ISLES"4900 Block JENIC LN"BARATARIA"W"COMMENT"08/26/2016"FEES PAID"08/26/2016"BILL PAID"08/26/2016"PAYMENT RECEIVED"08/26/2016"LETTER RETURNED"08/24/2016"COMMENT"08/23/2016"DEMAND LETTER"08/12/2016"DEMAND LETTER"08/12/2016"COMMENT"07/26/2016"COMMENT"07/14/2016"MAIL CORRESPONDANCE"07/07/2016"COMMENT"06/24/2016"COMMENT"06/22/2016"COMMENT"04/29/2016"BILLED"04/28/2016"PROPERTY CUT BY PARISH CONTRACTOR"04/07/2016"COMMENT"02/19/2016"INSPECTION COMPLETED/DATE"02/18/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"PAYMENT RECEIVED"02/08/2017"ADJUDICATION FINES"02/08/2017"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
720091"2016902633"Repeat Offender"3112 JESSICA ST, METAIRIE"2/4/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"02/01/2016"WILLOWDALE"3112 JESSICA ST"METAIRIE"E"COMMENT"08/04/2016"COMMENT"07/14/2016"COMMENT"06/28/2016"COMMENT"06/20/2016"COMMENT"05/11/2016"COMMENT"04/19/2016"COMMENT"02/18/2016"INSPECTION COMPLETED/DATE"02/17/2016"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/17/2016"INSPECTION SCHEDULED/DATE"02/16/2016"OWNER NOTICE - WEEDS & TRASH"02/11/2016"COMPLAINT RECEIVED"02/05/2016"COMPLAINT ENTERED/DATE"02/05/2016"
791625"2017903034"Repeat Offender"325 JESSIE ST, MARRERO"2/7/2017"REPEAT OFFENDER"PMZ - WEED CONTROL"02/07/2017"ROBINSON AVENUE ADDITION"325 JESSIE ST"MARRERO"W"INSPECTION SCHEDULED/DATE"02/21/2017"INSPECTION COMPLETED/DATE"02/21/2017"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"02/15/2017"OWNER NOTICE"02/10/2017"COMPLAINT RECEIVED"02/10/2017"COMPLAINT ENTERED/DATE"02/10/2017"
738606"2016909364"Repeat Offender"2724 JIMMIE DEAN DR, MARRERO"5/6/2016"REPEAT OFFENDER"PMZ - WEED CONTROL"05/06/2016"ESTELLE HEIGHTS EXTENSION #2"2724 JIMMIE DEAN DR"MARRERO"W"PROPERTY ORDERED TO BE CUT/CLEARED--WORK ORDER ISSUED TO PARISH CONTRACTOR"04/26/2016"COMMENT"03/13/2017"COMMENT"01/31/2018"COMPLAINT CLOSED. PROPERTY REMOVED FROM REPEAT OFFENDER LIST"01/25/2017"FEES PAID"01/16/2018"BILL PAID"01/16/2018"
